MAE,RMSE,sMAPE,WAPE,Category
1.156951434494916,1.443513878534205,7.505869167350057,0.07628529800486762,TAKE HOME LOOSE KONFETY
1.267191301658102,1.5112259455046073,8.223761432637263,0.08416591368314681,TABLETS
1.694603293038708,1.8706102461416272,11.092332742719764,0.1158428969297523,BARS
2.0009313778316637,2.1587832708325387,13.21226943415645,0.13970903621055167,FRUITY CONFECTIONS
2.4095895437349713,2.556833059151844,16.11411904169181,0.17318388090359263,BAGS
2.5637209110304635,2.6476540624176463,17.15039432720659,0.1863258188149207,BOXED CHOCOLATE
3.497783864067715,3.577540768211676,24.153140945819963,0.27272572319237115,GUM
4.521594805483092,4.569464566306118,32.28455951891148,0.3831382890770193,BITESIZE
4.610967638274906,4.658441459007881,33.02821799668384,0.39369276034747297,IMPULSE FANCY
5.271450306960849,5.357940557850019,38.818660527367676,0.4769846595894791,MEDICINAL
5.3347744359836735,5.377765521711384,39.21791325033171,0.4854963360074446,MINTS
