MAE,RMSE,sMAPE,WAPE,Category
0.9457777480079803,1.2787838752037612,6.206342673503987,0.06236124974827405,TAKE HOME LOOSE KONFETY
1.0536870059792034,1.3372682490576666,6.910064510412119,0.06998511548986848,TABLETS
1.481098997359809,1.6796299033336597,9.780319847232393,0.10124776648241338,BARS
1.7874270821527651,1.962527555385723,11.901954874053846,0.12480173868571819,FRUITY CONFECTIONS
2.1960852480560726,2.3567061632338406,14.806645185013437,0.15783873524947173,BAGS
2.3502166153515645,2.441500617173045,15.843499061111837,0.17080877772760358,BOXED CHOCOLATE
3.284279568388816,3.3690945774525747,22.855875557087586,0.2560785786841368,GUM
4.3080905098041935,4.358305941351574,31.00192244566108,0.3650469575720797,BITESIZE
4.397463342596008,4.447216895459525,31.74718792211251,0.3754633772535339,IMPULSE FANCY
5.057946011281952,5.1480245274998,37.55254860473091,0.45766582551817714,MEDICINAL
5.121270140304775,5.166038286120234,37.95152946517037,0.466066169930546,MINTS
