MAE,RMSE,sMAPE,WAPE,Category
0.7418016873184337,0.8481788198441519,4.999229593766709,0.04926992215237067,TABLETS
0.8820155840823073,1.1150691741779408,5.877966800486274,0.0581569974940481,TAKE HOME LOOSE KONFETY
0.9242766595539674,0.9476076557911489,6.425850332625019,0.0631834519896925,BARS
1.0194155486026844,1.1651677313614686,7.586008336563191,0.0740889681044536,BOXED CHOCOLATE
1.1088813397185564,1.247654687136601,8.44519351102651,0.08646059249572147,GUM
1.523463296831483,1.719544688111913,11.067401421586428,0.10637125853517511,FRUITY CONFECTIONS
1.9147817388103978,2.3149961322585004,12.983484319200295,0.13762067214837953,BAGS
2.359523049980708,2.464630759044535,18.444301478075236,0.2014603474853125,IMPULSE FANCY
2.3792695191800517,2.4767538396256015,18.453307295664448,0.20160790430100298,BITESIZE
3.050093633445986,3.1907964848022106,24.585839840194527,0.2759862635040251,MEDICINAL
3.4077017395188123,3.4735272728509843,27.012874460269376,0.3101212110456401,MINTS
