MAE,RMSE,sMAPE,WAPE,Category
0.4081014968816855,0.5979952175474519,2.7958056200809906,0.027105801085884007,TABLETS
0.4954779688814722,0.5812157233901024,3.3117950686459334,0.03267007013779344,TAKE HOME LOOSE KONFETY
0.5858994032223632,0.7398054091447106,4.0510959242112845,0.0400520195242777,BARS
0.9135294377642929,1.027240091593528,6.31784982101337,0.06378445493634201,FRUITY CONFECTIONS
0.9576867631262292,1.084028169253986,6.807001659399922,0.06883160277626202,BAGS
0.9875091474619324,1.0980737164974426,7.031494318894942,0.07177007828598332,BOXED CHOCOLATE
1.5650411725078988,1.6254864131532263,11.648915777715105,0.1220278331039239,GUM
2.067106742678315,2.0998982408627946,16.230749865342524,0.1751567256245384,BITESIZE
2.140928755155875,2.1759455330390143,16.885884305538152,0.1827963710541105,IMPULSE FANCY
2.487083795433013,2.553352653462801,20.56398452492465,0.22504258760983437,MEDICINAL
2.584568077744809,2.6223800517525664,21.209953015410303,0.23521113159783255,MINTS
