MAE,RMSE,sMAPE,WAPE,Category
0.1579582535821354,0.18513071699883837,1.1293188692131422,0.011028961619551665,FRUITY CONFECTIONS
0.15859349489593244,0.2007930221944844,1.2141794413865143,0.012365694185231525,GUM
0.15669350701265775,0.22044798380506073,1.3414642596742168,0.01327745735055828,BITESIZE
0.20501463435419964,0.28021956952229515,1.4274198983999642,0.013517942076710235,TAKE HOME LOOSE KONFETY
0.1720445039470712,0.2137283964787087,1.4686879337765988,0.0146894710557706,IMPULSE FANCY
0.18285140919468512,0.2558751892310291,1.7055123530911036,0.01664057033021466,MINTS
0.2585082750040665,0.29440614236689966,1.7468182070655904,0.017671597582632637,BARS
0.26387614614016897,0.401794905637253,1.9279346999797953,0.01896551019872139,BAGS
0.24747513908614832,0.28423640591652605,2.253036816152988,0.022392669588100534,MEDICINAL
0.4105188680179882,0.4635260829821175,2.73855191298695,0.02726636109772434,TABLETS
0.380075553145799,0.45337277259830894,2.75322938731035,0.027623088124268693,BOXED CHOCOLATE
