MAE,RMSE,sMAPE,WAPE,Category
1.0692450950997894,1.358873092191608,6.966742700143619,0.07050225125096977,TAKE HOME LOOSE KONFETY
1.122735742588747,1.3890301041129134,7.33553984235836,0.07457128175995323,TABLETS
1.4260120053278391,1.6247862656919718,9.43724377284972,0.09748202569438116,BARS
1.779790419443572,1.949859990804768,11.853268771032246,0.12426853160086423,FRUITY CONFECTIONS
2.1231827708107684,2.2901359066241995,14.354553240658314,0.15259903209353196,BAGS
2.2874884294956415,2.386010471983319,15.454058060442314,0.16624982572074043,BOXED CHOCOLATE
3.2839794767303765,3.376153589916074,22.8503968367949,0.2560551802359329,GUM
4.2474694697384745,4.301725514211658,30.630657177826414,0.3599102209620934,BITESIZE
4.399500055593796,4.447303930084762,31.759000643913648,0.3756372754946491,IMPULSE FANCY
5.116608648797576,5.203391221400088,37.90233628250294,0.4629738862143128,MEDICINAL
5.187799144960479,5.235697704376773,38.34404172897644,0.47212070670359163,MINTS
